,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL200529C00140000,2020-05-27 12:27PM EDT,140.0,174.4,177.5,178.85,-2.9,-1.64%,1,1,334.38%
1,AAPL200529C00160000,2020-05-13 7:08PM EDT,160.0,113.01,0.0,0.0,0.0,-,2,0,0.00%
2,AAPL200529C00165000,2020-05-13 7:08PM EDT,165.0,108.46,0.0,0.0,0.0,-,2,0,0.00%
3,AAPL200529C00175000,2020-05-27 3:51PM EDT,175.0,142.7,142.45,143.9,36.69,+34.61%,5,0,248.44%
4,AAPL200529C00185000,2020-05-07 3:30PM EDT,185.0,118.35,132.45,133.9,0.0,-,7,0,226.56%
5,AAPL200529C00190000,2020-05-08 1:32PM EDT,190.0,117.8,127.45,128.9,0.0,-,2,0,216.41%
6,AAPL200529C00195000,2020-05-07 3:30PM EDT,195.0,108.28,122.45,123.9,0.0,-,-,0,206.25%
7,AAPL200529C00200000,2020-05-26 10:08AM EDT,200.0,120.95,117.45,118.9,0.0,-,20,41,196.88%
8,AAPL200529C00205000,2020-05-07 3:33PM EDT,205.0,98.11,112.45,113.9,0.0,-,-,0,186.72%
9,AAPL200529C00210000,2020-05-22 2:14PM EDT,210.0,108.48,107.45,108.9,0.0,-,2,13,177.34%
10,AAPL200529C00215000,2020-05-01 2:20PM EDT,215.0,75.48,102.5,103.9,0.0,-,2,0,174.61%
11,AAPL200529C00220000,2020-05-27 3:51PM EDT,220.0,97.7,97.55,98.85,-3.93,-3.87%,21,12,165.23%
12,AAPL200529C00225000,2020-05-21 9:41AM EDT,225.0,95.32,92.45,93.9,0.0,-,1,1,150.39%
13,AAPL200529C00230000,2020-05-26 9:36AM EDT,230.0,91.76,87.45,88.9,0.0,-,1,2,141.80%
14,AAPL200529C00235000,2020-05-20 9:35AM EDT,235.0,83.05,82.45,83.9,0.0,-,1,0,133.20%
15,AAPL200529C00240000,2020-05-26 3:58PM EDT,240.0,76.9,77.5,78.9,0.0,-,1,15,129.69%
16,AAPL200529C00242500,2020-05-26 1:32PM EDT,242.5,78.2,75.0,76.45,0.0,-,12,12,129.30%
17,AAPL200529C00245000,2020-05-07 3:32PM EDT,245.0,58.24,72.5,73.95,0.0,-,6,0,125.00%
18,AAPL200529C00247500,2020-05-26 9:31AM EDT,247.5,76.0,70.0,71.45,0.0,-,2,1,120.70%
19,AAPL200529C00250000,2020-05-26 10:55AM EDT,250.0,71.35,67.5,68.95,0.0,-,1,9,116.41%
20,AAPL200529C00252500,2020-05-07 3:34PM EDT,252.5,50.81,65.0,66.35,0.0,-,3,0,104.30%
21,AAPL200529C00255000,2020-05-27 12:00PM EDT,255.0,59.71,62.45,63.85,8.86,+17.42%,6,6,94.92%
22,AAPL200529C00257500,2020-05-07 3:08PM EDT,257.5,46.16,60.0,61.45,0.0,-,10,0,103.71%
23,AAPL200529C00260000,2020-05-26 9:59AM EDT,260.0,60.1,57.5,58.95,0.0,-,32,30,99.61%
24,AAPL200529C00262500,2020-05-20 1:26PM EDT,262.5,55.25,55.0,56.35,0.0,-,1,14,88.67%
25,AAPL200529C00265000,2020-05-27 2:19PM EDT,265.0,51.26,52.5,54.0,-1.07,-2.04%,2,74,93.75%
