,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL200529P00135000,2020-05-04 3:46PM EDT,135.0,0.02,0.0,0.01,0.0,-,1,5,281.25%
1,AAPL200529P00140000,2020-05-13 7:09PM EDT,140.0,0.24,0.0,0.0,0.0,-,-,6,50.00%
2,AAPL200529P00145000,2020-04-27 1:24PM EDT,145.0,0.07,0.0,0.01,0.0,-,20,20,256.25%
3,AAPL200529P00150000,2020-05-19 9:43AM EDT,150.0,0.01,0.0,0.01,0.0,-,7,201,250.00%
4,AAPL200529P00155000,2020-05-05 9:30AM EDT,155.0,0.04,0.0,0.01,0.0,-,10,18,237.50%
5,AAPL200529P00160000,2020-05-11 10:17AM EDT,160.0,0.04,0.0,0.01,0.0,-,7,22,225.00%
6,AAPL200529P00165000,2020-05-15 11:01AM EDT,165.0,0.05,0.0,0.01,0.0,-,1,11,218.75%
7,AAPL200529P00170000,2020-05-14 9:34AM EDT,170.0,0.01,0.0,0.01,0.0,-,9,18,206.25%
8,AAPL200529P00175000,2020-05-04 12:02PM EDT,175.0,0.06,0.0,0.01,0.0,-,1,246,196.88%
9,AAPL200529P00180000,2020-05-13 11:48AM EDT,180.0,0.02,0.0,0.01,0.0,-,3,218,187.50%
10,AAPL200529P00185000,2020-05-14 11:22AM EDT,185.0,0.11,0.0,0.01,0.0,-,3,143,181.25%
11,AAPL200529P00190000,2020-05-21 10:36AM EDT,190.0,0.01,0.0,0.02,0.0,-,4,198,181.25%
12,AAPL200529P00195000,2020-05-19 3:08PM EDT,195.0,0.02,0.0,0.01,0.0,-,2,436,162.50%
13,AAPL200529P00200000,2020-05-26 1:57PM EDT,200.0,0.01,0.0,0.01,0.0,-,1,561,156.25%
14,AAPL200529P00205000,2020-05-20 12:09PM EDT,205.0,0.04,0.0,0.01,0.0,-,1,446,150.00%
15,AAPL200529P00210000,2020-05-26 10:46AM EDT,210.0,0.01,0.0,0.01,0.0,-,5,191,140.63%
16,AAPL200529P00215000,2020-05-26 9:30AM EDT,215.0,0.06,0.0,0.16,0.0,-,25,104,172.27%
17,AAPL200529P00220000,2020-05-26 9:30AM EDT,220.0,0.02,0.0,0.01,0.0,-,50,1459,125.00%
18,AAPL200529P00225000,2020-05-26 10:15AM EDT,225.0,0.01,0.0,0.06,0.0,-,30,516,139.06%
19,AAPL200529P00230000,2020-05-26 11:32AM EDT,230.0,0.01,0.0,0.01,0.0,-,1,447,112.50%
20,AAPL200529P00235000,2020-05-26 1:47PM EDT,235.0,0.01,0.0,0.01,0.0,-,2,904,106.25%
21,AAPL200529P00240000,2020-05-27 2:06PM EDT,240.0,0.01,0.0,0.01,0.0,-,1,1096,96.88%
22,AAPL200529P00242500,2020-05-22 3:53PM EDT,242.5,0.01,0.0,0.16,0.0,-,26,482,123.83%
23,AAPL200529P00245000,2020-05-26 9:30AM EDT,245.0,0.01,0.0,0.01,0.0,-,1,423,90.63%
24,AAPL200529P00247500,2020-05-20 9:35AM EDT,247.5,0.05,0.0,0.17,0.0,-,4,267,116.41%
25,AAPL200529P00250000,2020-05-27 2:54PM EDT,250.0,0.01,0.0,0.01,0.0,-,7,1544,84.38%
26,AAPL200529P00252500,2020-05-22 2:12PM EDT,252.5,0.01,0.0,0.01,0.0,-,14,161,81.25%
27,AAPL200529P00255000,2020-05-26 9:45AM EDT,255.0,0.01,0.0,0.01,0.0,-,10,696,78.13%
28,AAPL200529P00257500,2020-05-26 11:46AM EDT,257.5,0.01,0.0,0.0,0.0,-,21,1256,50.00%
29,AAPL200529P00260000,2020-05-27 12:52PM EDT,260.0,0.01,0.0,0.01,0.0,-,72,1620,71.88%
30,AAPL200529P00262500,2020-05-27 12:51PM EDT,262.5,0.01,0.0,0.01,0.0,-,49,398,68.75%
31,AAPL200529P00265000,2020-05-27 12:26PM EDT,265.0,0.01,0.0,0.01,0.0,-,526,1310,65.63%
32,AAPL200529P00267500,2020-05-27 3:38PM EDT,267.5,0.01,0.0,0.02,0.0,-,29,703,66.41%
33,AAPL200529P00270000,2020-05-27 3:51PM EDT,270.0,0.01,0.01,0.02,-0.01,-50.00%,205,4544,65.63%
34,AAPL200529P00272500,2020-05-27 2:27PM EDT,272.5,0.02,0.01,0.02,0.0,-,119,890,62.50%
